return_number,return_date,status,progress,sales_order_number,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity_returned,return_reason,return_reason_category,refund_amount,return_type
RT-2026-4201,2026-07-16,freigegeben,eingegangen,AB-2026-10003,Eigener Shop,K-13814,Kreditkarte,TEE-OVS-S-WEI,T-Shirt Oversized,S,Weiss,1,Zu klein,Gutschrift,34.9,kundenretoure
RT-2026-4202,2026-02-09,freigegeben,eingegangen,AB-2026-10007,Eigener Shop,K-17046,Rechnungskauf,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4203,2026-03-06,freigegeben,eingegangen,AB-2026-10013,Amazon,K-19626,PayPal,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4204,2026-06-02,freigegeben,eingegangen,AB-2026-10034,Eigener Shop,K-18002,Kreditkarte,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4205,2026-03-14,freigegeben,eingegangen,AB-2026-10046,Eigener Shop,K-11837,PayPal,HOOD-ZP-XS-OLI,Zip-Hoodie Heavy,XS,Oliv,1,Zu klein,Gutschrift,89.9,kundenretoure
RT-2026-4206,2026-07-15,freigegeben,eingegangen,AB-2026-10059,Eigener Shop,K-15036,PayPal,KLEID-PR-XL-OLI,Sommerkleid Print,XL,Oliv,1,Nicht mehr benoetigt,Gutschrift,79.9,kundenretoure
RT-2026-4207,2026-07-15,freigegeben,eingegangen,AB-2026-10068,Eigener Shop,K-19648,PayPal,HOOD-CL-XS-OLI,Hoodie Classic,XS,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4208,2026-07-09,freigegeben,eingegangen,AB-2026-10070,Eigener Shop,K-15129,PayPal,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,,Sonstiges,79.9,nicht_abgeholt
RT-2026-4208,2026-07-09,freigegeben,eingegangen,AB-2026-10070,Eigener Shop,K-15129,PayPal,JOG-CL-L-SCH,Jogger Classic,L,Schwarz,1,,Sonstiges,64.9,nicht_abgeholt
RT-2026-4208,2026-07-09,freigegeben,eingegangen,AB-2026-10070,Eigener Shop,K-15129,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,,Sonstiges,24.9,nicht_abgeholt
RT-2026-4209,2026-05-08,freigegeben,eingegangen,AB-2026-10071,Eigener Shop,K-12652,Rechnungskauf,TEE-BAS-XL-SCH,T-Shirt Basic,XL,Schwarz,1,Zu spaet geliefert,Gutschrift,29.9,kundenretoure
RT-2026-4210,2026-01-24,freigegeben,eingegangen,AB-2026-10078,Eigener Shop,K-13184,Rechnungskauf,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4211,2026-01-25,freigegeben,eingegangen,AB-2026-10078,Eigener Shop,K-13184,Rechnungskauf,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,Zu klein,Gutschrift,79.9,kundenretoure
RT-2026-4212,2026-05-14,freigegeben,eingegangen,AB-2026-10081,Eigener Shop,K-18592,PayPal,HOOD-ZP-XL-NAV,Zip-Hoodie Heavy,XL,Navy,1,Entspricht nicht dem Foto,Gutschrift,89.9,kundenretoure
RT-2026-4213,2026-04-18,freigegeben,eingegangen,AB-2026-10082,Eigener Shop,K-13731,Vorkasse,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4214,2026-08-01,freigegeben,eingegangen,AB-2026-10083,Amazon,K-14778,Vorkasse,SOCK-3P-L-OLI,Sneaker Socken 3er-Pack,L,Oliv,1,Mangelhafte Qualitaet,Gutschrift,19.9,kundenretoure
RT-2026-4215,2026-04-08,freigegeben,eingegangen,AB-2026-10084,Amazon,K-17352,Rechnungskauf,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,89.9,kundenretoure
