sales_order_number,order_date,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity,unit_price,net_revenue,unit_cost
AB-2026-10000,2026-06-23,Eigener Shop,K-18527,Rechnungskauf,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,29.9,29.9,7.5
AB-2026-10001,2026-03-10,Eigener Shop,K-15332,Vorkasse,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,34.9,34.9,9.0
AB-2026-10002,2026-01-19,Eigener Shop,K-16790,Rechnungskauf,CAP-LG-XL-NAV,Cap Logo,XL,Navy,1,24.9,24.9,6.0
AB-2026-10003,2026-06-13,Eigener Shop,K-13814,Kreditkarte,TEE-OVS-S-WEI,T-Shirt Oversized,S,Weiss,1,34.9,34.9,9.0
AB-2026-10004,2026-04-27,Eigener Shop,K-19734,Rechnungskauf,TEE-BAS-S-SCH,T-Shirt Basic,S,Schwarz,1,29.9,29.9,7.5
AB-2026-10005,2026-04-26,Eigener Shop,K-14307,Vorkasse,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-10006,2026-01-12,Amazon,K-15099,Kreditkarte,CAP-LG-S-SCH,Cap Logo,S,Schwarz,1,24.9,24.9,6.0
AB-2026-10007,2026-01-22,Eigener Shop,K-17046,Rechnungskauf,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-10008,2026-06-08,Eigener Shop,K-10644,PayPal,JOG-CL-XS-SCH,Jogger Classic,XS,Schwarz,1,64.9,64.9,19.5
AB-2026-10008,2026-06-08,Eigener Shop,K-10644,PayPal,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,79.9,79.9,24.0
AB-2026-10008,2026-06-08,Eigener Shop,K-10644,PayPal,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-10009,2026-03-08,Amazon,K-15014,Kreditkarte,SOCK-3P-XS-OLI,Sneaker Socken 3er-Pack,XS,Oliv,1,19.9,19.9,4.8
AB-2026-10010,2026-01-11,Amazon,K-11896,PayPal,SOCK-3P-M-NAV,Sneaker Socken 3er-Pack,M,Navy,1,19.9,19.9,4.8
AB-2026-10011,2026-03-26,Amazon,K-11550,Kreditkarte,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,64.9,64.9,19.5
AB-2026-10012,2026-04-04,Zalando,K-14292,Rechnungskauf,TEE-BAS-XL-OLI,T-Shirt Basic,XL,Oliv,1,29.9,29.9,7.5
AB-2026-10013,2026-01-24,Amazon,K-19626,PayPal,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,69.9,69.9,21.0
AB-2026-10014,2026-06-27,Eigener Shop,K-18965,PayPal,TEE-OVS-S-NAV,T-Shirt Oversized,S,Navy,1,34.9,34.9,9.0
AB-2026-10014,2026-06-27,Eigener Shop,K-18965,PayPal,JOG-CL-XL-OLI,Jogger Classic,XL,Oliv,1,64.9,64.9,19.5
AB-2026-10015,2026-05-30,Eigener Shop,K-17179,Rechnungskauf,KLEID-PR-M-OLI,Sommerkleid Print,M,Oliv,1,79.9,79.9,24.0
AB-2026-10016,2026-05-15,Eigener Shop,K-19441,Rechnungskauf,SOCK-3P-XL-WEI,Sneaker Socken 3er-Pack,XL,Weiss,1,19.9,19.9,4.8
AB-2026-10017,2026-06-05,Eigener Shop,K-14573,Kreditkarte,HOOD-CL-XS-WEI,Hoodie Classic,XS,Weiss,1,69.9,69.9,21.0
AB-2026-10018,2026-05-14,Eigener Shop,K-17615,PayPal,HOOD-CL-XL-NAV,Hoodie Classic,XL,Navy,1,69.9,69.9,21.0
AB-2026-10019,2026-06-03,Amazon,K-14080,PayPal,HOOD-ZP-XS-SCH,Zip-Hoodie Heavy,XS,Schwarz,1,89.9,89.9,28.0
AB-2026-10020,2026-05-17,Eigener Shop,K-10577,Rechnungskauf,JOG-CL-S-NAV,Jogger Classic,S,Navy,1,64.9,64.9,19.5
AB-2026-10021,2026-01-12,Eigener Shop,K-12947,Rechnungskauf,CAP-LG-XL-SCH,Cap Logo,XL,Schwarz,1,24.9,24.9,6.0
AB-2026-10022,2026-02-23,Eigener Shop,K-12804,Rechnungskauf,CAP-LG-XS-SCH,Cap Logo,XS,Schwarz,1,24.9,24.9,6.0
AB-2026-10023,2026-02-28,Amazon,K-12897,Rechnungskauf,TEE-OVS-XS-NAV,T-Shirt Oversized,XS,Navy,1,34.9,34.9,9.0
AB-2026-10024,2026-05-10,Eigener Shop,K-18795,Rechnungskauf,JOG-CL-XL-WEI,Jogger Classic,XL,Weiss,1,64.9,64.9,19.5
AB-2026-10025,2026-01-11,Eigener Shop,K-15037,Vorkasse,HOOD-ZP-XL-OLI,Zip-Hoodie Heavy,XL,Oliv,1,89.9,89.9,28.0
AB-2026-10026,2026-06-08,Eigener Shop,K-17316,PayPal,CAP-LG-XL-OLI,Cap Logo,XL,Oliv,1,24.9,24.9,6.0
AB-2026-10026,2026-06-08,Eigener Shop,K-17316,PayPal,JOG-CL-L-SCH,Jogger Classic,L,Schwarz,1,64.9,64.9,19.5
AB-2026-10027,2026-04-12,Eigener Shop,K-16429,PayPal,JOG-CL-L-WEI,Jogger Classic,L,Weiss,1,64.9,64.9,19.5
AB-2026-10027,2026-04-12,Eigener Shop,K-16429,PayPal,SOCK-3P-XS-NAV,Sneaker Socken 3er-Pack,XS,Navy,1,19.9,19.9,4.8
AB-2026-10028,2026-02-07,Eigener Shop,K-10381,Vorkasse,TEE-BAS-S-NAV,T-Shirt Basic,S,Navy,1,29.9,29.9,7.5
AB-2026-10029,2026-03-20,Eigener Shop,K-16330,Rechnungskauf,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,69.9,69.9,21.0
AB-2026-10030,2026-02-18,Eigener Shop,K-12165,Kreditkarte,JOG-CL-M-OLI,Jogger Classic,M,Oliv,1,64.9,64.9,19.5
AB-2026-10031,2026-05-04,Zalando,K-11125,Rechnungskauf,TEE-OVS-S-NAV,T-Shirt Oversized,S,Navy,1,34.9,34.9,9.0
AB-2026-10032,2026-03-11,Eigener Shop,K-18090,PayPal,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-10032,2026-03-11,Eigener Shop,K-18090,PayPal,HOOD-ZP-XS-OLI,Zip-Hoodie Heavy,XS,Oliv,1,89.9,89.9,28.0
AB-2026-10032,2026-03-11,Eigener Shop,K-18090,PayPal,JOG-CL-XS-OLI,Jogger Classic,XS,Oliv,1,64.9,64.9,19.5
AB-2026-10033,2026-05-21,Amazon,K-16626,Vorkasse,JOG-CL-XL-WEI,Jogger Classic,XL,Weiss,1,64.9,64.9,19.5
AB-2026-10034,2026-05-18,Eigener Shop,K-18002,Kreditkarte,CAP-LG-M-WEI,Cap Logo,M,Weiss,1,24.9,24.9,6.0
AB-2026-10034,2026-05-18,Eigener Shop,K-18002,Kreditkarte,KLEID-PR-XS-NAV,Sommerkleid Print,XS,Navy,1,79.9,79.9,24.0
AB-2026-10034,2026-05-18,Eigener Shop,K-18002,Kreditkarte,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,64.9,64.9,19.5
AB-2026-10035,2026-01-30,Eigener Shop,K-10545,Rechnungskauf,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,79.9,79.9,24.0
AB-2026-10036,2026-04-04,Eigener Shop,K-16855,PayPal,JOG-CL-M-OLI,Jogger Classic,M,Oliv,1,64.9,64.9,19.5
AB-2026-10037,2026-04-05,Amazon,K-17372,Vorkasse,TEE-BAS-M-SCH,T-Shirt Basic,M,Schwarz,1,29.9,29.9,7.5
AB-2026-10038,2026-04-21,Amazon,K-17115,PayPal,JOG-CL-S-WEI,Jogger Classic,S,Weiss,1,64.9,64.9,19.5
AB-2026-10039,2026-05-17,Amazon,K-15563,Kreditkarte,HOOD-CL-XL-SCH,Hoodie Classic,XL,Schwarz,1,69.9,69.9,21.0
AB-2026-10040,2026-04-16,Eigener Shop,K-16780,PayPal,HOOD-ZP-M-WEI,Zip-Hoodie Heavy,M,Weiss,1,89.9,89.9,28.0
